rep,cycles
0,18123
1,18219
2,18099
3,17710
4,17660
5,17514
6,17672
7,17282
8,17984
9,17694
10,17948
11,17912
12,18000
13,18242
14,18390
15,18442
16,18860
17,19582
18,19676
19,19682
20,19584
21,19570
22,19536
23,19498
24,19820
25,19580
26,19430
27,19584
28,20072
29,20154
30,20102
31,20122
32,29656
33,20259
34,18108
35,17850
36,17566
37,17626
38,17556
39,18342
40,17670
41,17664
42,17998
43,16984
44,17740
45,17666
46,17530
47,17750
48,17604
49,17944
50,18372
51,18328
52,18134
53,18174
54,18246
55,18226
56,18176
57,18414
58,18412
59,17912
60,18302
61,18324
62,18446
63,18378
64,18174
65,18514
66,18674
67,18944
68,18666
69,18654
70,18910
71,18768
72,19002
73,18762
74,19070
75,18430
76,18728
77,18630
78,19018
79,18922
80,18816
81,18662
82,18732
83,19016
84,18660
85,18634
86,18536
87,18866
88,17770
89,17750
90,17762
91,18338
92,18388
93,18380
94,18684
95,18608
96,18560
97,18376
98,17530
99,18530
100,18542
101,18472
102,18948
103,19188
104,19252
105,19440
106,18782
107,18916
108,19014
109,19058
110,18866
111,19094
112,18824
113,18804
114,18816
115,18776
116,18902
117,18708
118,17758
119,18560
120,18772
121,18922
122,18476
123,17620
124,18012
125,18084
126,17998
127,17964
128,17932
129,18128
130,18110
131,18156
132,18154
133,17126
134,18110
135,18096
136,18052
137,17982
138,17862
139,17842
140,18156
141,17936
142,18106
143,18134
144,17956
145,18178
146,18238
147,18054
148,18392
149,18610
150,18848
151,19280
152,19328
153,19044
154,19246
155,19206
156,18714
157,19302
158,18956
159,19150
160,19240
161,18322
162,17988
163,18178
164,18416
165,18036
166,18192
167,18918
168,19518
169,19590
170,19500
171,19196
172,19764
173,19538
174,19450
175,19726
176,19430
177,18136
178,18338
179,18478
180,18480
181,18654
182,18478
183,17894
184,18728
185,18438
186,18198
187,18754
188,19188
189,18860
190,19012
191,19494
192,19642
193,19402
194,19356
195,19808
196,19530
197,19534
198,20650
199,19496
200,19394
201,19378
202,19260
203,17840
204,17864
205,18322
206,17932
207,17216
208,18274
209,18142
210,18084
211,18176
212,17698
213,18272
214,18520
215,18488
216,18478
217,18430
218,18302
219,18478
220,18620
221,18626
222,19010
223,20114
224,20112
225,20060
226,19672
227,19614
228,20002
229,19966
230,20210
231,20148
232,19812
233,20068
234,19688
235,20302
236,19830
237,20534
238,19914
239,20314
240,18246
241,18282
242,17186
243,18006
244,18110
245,18240
246,17946
247,18382
248,18388
249,18294
250,18198
251,18438
252,18766
253,18518
254,19046
255,18198
256,18616
257,18180
258,18300
259,18478
260,18192
261,18186
262,18278
263,17756
264,17888
265,16888
266,17870
267,17766
268,17904
269,17570
270,17916
271,17806
272,17526
273,18194
274,18290
275,19640
276,19670
277,30681
278,19605
279,19389
280,17514
281,17040
282,17612
283,17842
284,17986
285,19564
286,16976
287,17310
288,17748
289,18294
290,17660
291,17516
292,17840
293,17792
294,17672
295,17808
296,17574
297,17408
298,16956
299,18534
300,18176
301,18178
302,18128
303,18134
304,18292
305,18222
306,18428
307,18298
308,18368
309,18424
310,18620
311,18712
312,18778
313,18472
314,18520
315,18530
316,18332
317,18686
318,18668
319,18750
320,18438
321,19882
322,19038
323,19394
324,19680
325,19536
326,19682
327,19774
328,18530
329,18466
330,18712
331,18282
332,18570
333,18618
334,18622
335,18572
336,18444
337,17802
338,18244
339,18176
340,18036
341,17470
342,18228
343,18346
344,18300
345,18302
346,18536
347,18490
348,18238
349,18922
350,18334
351,18478
352,18658
353,18526
354,18524
355,18624
356,18536
357,18374
358,18946
359,18416
360,18926
361,18542
362,18658
363,18776
364,18318
365,18852
366,18814
367,18798
368,18854
369,18994
370,18644
371,17962
372,19900
373,19640
374,19876
375,19818
376,19714
377,20064
378,19954
379,19342
380,17416
381,17708
382,17764
383,17844
384,17674
385,17530
386,16742
387,17564
388,17554
389,17936
390,17670
391,17710
392,18380
393,18062
394,17956
395,18136
396,18152
397,18272
398,18142
399,18818
400,18798
401,19618
402,19634
403,19442
404,20126
405,19950
406,19916
407,20072
408,20208
409,19642
410,19518
411,19838
412,19854
413,18536
414,19332
415,20076
416,20110
417,19902
418,19636
419,19738
420,19062
421,20636
422,19958
423,19582
424,18818
425,18896
426,18876
427,18896
428,17760
429,18804
430,18760
431,18542
432,18806
433,18530
434,18946
435,18612
436,18590
437,18756
438,19004
439,18714
440,18572
441,18770
442,18494
443,18686
444,18522
445,18866
446,18630
447,18900
448,18778
449,19006
450,18654
451,18562
452,18510
453,18676
454,18712
455,18606
456,17762
457,19474
458,19398
459,19598
460,19486
461,19164
462,19208
463,17896
464,18968
465,18760
466,19490
467,18998
468,19214
469,19004
470,19098
471,19098
472,19044
473,18858
474,19104
475,18994
476,18804
477,19092
478,19106
479,18138
480,19912
481,20118
482,19818
483,19742
484,20118
485,20070
486,20356
487,20050
488,20158
489,19980
490,19690
491,20106
492,20094
493,20258
494,20884
495,20198
496,20212
497,17614
498,19832
499,17720
500,20832
501,20730
502,21030
503,20874
504,20892
505,20866
506,21054
507,21006
508,21298
509,18612
510,19336
511,19134
512,19520
513,18760
514,19294
515,17944
516,18576
517,18226
518,18616
519,18638
520,18716
521,18638
522,18616
523,18564
524,18416
525,18470
526,18566
527,18964
528,18060
529,19040
530,19592
531,19290
532,19678
533,19292
534,19686
535,19244
536,19346
537,19724
538,19338
539,19214
540,19722
541,18096
542,18338
543,18606
544,18536
545,18914
546,19438
547,19304
548,19882
549,20168
550,19832
551,20866
552,20158
553,19964
554,19902
555,19836
556,19724
557,20288
558,20198
559,19732
560,20142
561,20026
562,19482
563,19290
564,19260
565,19722
566,19258
567,19406
568,19240
569,19356
570,18426
571,19330
572,19372
573,19196
574,19760
575,19686
576,19472
577,19582
578,19404
579,19138
580,19450
581,19354
582,19718
583,18224
584,18808
585,18752
586,19114
587,18758
588,18656
589,18088
590,19014
591,18762
592,18762
593,18808
594,18920
595,18660
596,19042
597,18732
598,18858
599,18610
600,18714
601,18922
602,19016
603,18562
604,20100
605,19874
606,19688
607,19784
608,19982
609,19682
610,19830
611,20142
612,20000
613,20578
614,19824
615,19872
616,19822
617,19726
618,19716
619,19810
620,19950
621,19728
622,19808
623,19428
624,19262
625,19194
626,18910
627,18388
628,18952
629,19158
630,19244
631,18432
632,18856
633,19010
634,18900
635,18616
636,18878
637,18810
638,18994
639,19042
640,18878
641,18864
642,18674
643,19328
644,19182
645,19234
646,19430
647,19762
648,19638
649,19826
650,19576
651,19422
652,19004
653,18086
654,19786
655,18998
656,19350
657,19146
658,19148
659,19358
660,19294
661,19430
662,19240
663,18970
664,19204
665,19156
666,19158
667,18966
668,18948
669,17804
670,20554
671,20986
672,20824
673,20876
674,21638
675,20482
676,20732
677,20828
678,20828
679,20722
680,20484
681,18894
682,18420
683,18396
684,18558
685,18094
686,18098
687,18088
688,18034
689,18234
690,18128
691,18110
692,17770
693,18188
694,17960
695,18238
696,17964
697,17952
698,17868
699,18240
700,17858
701,20016
702,19942
703,20444
704,20432
705,20248
706,20388
707,20140
708,20400
709,21354
710,20156
711,18182
712,19580
713,19338
714,19528
715,19736
716,19694
717,19346
718,19424
719,19916
720,19486
721,18240
722,18046
723,18136
724,18424
725,18192
726,18606
727,18570
728,18444
729,18522
730,18720
731,19056
732,19036
733,19446
734,18846
735,19234
736,18762
737,18804
738,19050
739,19238
740,19420
741,17916
742,20838
743,20430
744,20240
745,20308
746,19730
747,19786
748,19772
749,19532
750,19598
751,19822
752,20018
753,20002
754,17668
755,18574
756,18238
757,18388
758,18562
759,18386
760,17990
761,18052
762,18436
763,19202
764,18826
765,19428
766,19384
767,19280
768,19476
769,19066
770,19394
771,19196
772,19334
773,19290
774,19164
775,19200
776,19216
777,19588
778,19058
779,19350
780,18806
781,19284
782,19388
783,19254
784,19500
785,19398
786,19020
787,19160
788,19262
789,19232
790,19326
791,19344
792,19470
793,19044
794,18998
795,19334
796,17796
797,18652
798,18462
799,18478
800,18234
801,18808
802,18490
803,18568
804,18634
805,19116
806,18754
807,18630
808,18672
809,18958
810,18490
811,18566
812,18478
813,18940
814,19096
815,19442
816,18906
817,18806
818,19396
819,19240
820,19096
821,18956
822,18676
823,19278
824,19018
825,19326
826,18862
827,19062
828,19260
829,19048
830,19242
831,19198
832,19138
833,18374
834,19486
835,19352
836,19780
837,19438
838,19488
839,19244
840,17800
841,18952
842,18780
843,18804
844,18798
845,19000
846,18828
847,18654
848,18574
849,18482
850,18780
851,18424
852,19184
853,18802
854,18244
855,17798
856,18006
857,18100
858,18140
859,18146
860,17886
861,17570
862,17564
863,17946
864,17628
865,17664
866,18094
867,17704
868,17934
869,17148
870,17722
871,17742
872,18470
873,18826
874,18638
875,18486
876,18254
877,18896
878,18624
879,18320
880,18574
881,18878
882,18196
883,19338
884,19574
885,19296
886,19240
887,19390
888,18082
889,19374
890,19336
891,19186
892,19296
893,19332
894,19200
895,19490
896,19250
897,19304
898,19292
899,19526
900,19862
901,19406
902,19310
903,19582
904,19788
905,19238
906,19812
907,19350
908,19192
909,19328
910,19336
911,19346
912,19488
913,18860
914,19116
915,18860
916,17854
917,18624
918,19020
919,18856
920,18606
921,18824
922,18844
923,18896
924,22470
925,18568
926,18628
927,18948
928,19046
929,18956
930,18852
931,18828
932,19042
933,19022
934,17956
935,18480
936,18658
937,18474
938,18106
939,18040
940,18126
941,18008
942,17944
943,18466
944,18332
945,18158
946,18204
947,18284
948,17262
949,18088
950,17954
951,18222
952,17994
953,18188
954,18252
955,18220
956,17888
957,18436
958,18418
959,18392
960,18296
961,18418
962,18048
963,18510
964,18442
965,18850
966,18080
967,18078
968,18820
969,20168
970,19674
971,19734
972,19140
973,19186
974,19114
975,19618
976,19786
977,19572
978,19252
979,19236
980,18098
981,18202
982,18514
983,18472
984,18342
985,18292
986,18374
987,18326
988,18760
989,18288
990,18610
991,18488
992,17810
993,18440
994,18964
995,18994
996,18752
997,18864
998,18906
999,19010
1000,19040
1001,19146
1002,19104
1003,18996
1004,20532
1005,20672
1006,21630
1007,20438
1008,19768
1009,21692
1010,21362
1011,19454
1012,18202
1013,18372
1014,18472
1015,18010
1016,18134
1017,17914
1018,18044
1019,18226
1020,18156
1021,18084
1022,18058
1023,19156
1024,19116
1025,18802
1026,18994
1027,19000
1028,18850
1029,18998
1030,19246
1031,19114
1032,19572
1033,19454
1034,20530
1035,20552
1036,20210
1037,20334
1038,20698
1039,20398
1040,20692
1041,20338
1042,20292
1043,20294
1044,20674
1045,20352
1046,21180
1047,20306
1048,20336
1049,19592
1050,19834
1051,20102
1052,19788
1053,18336
1054,18902
1055,19156
1056,18814
1057,18392
1058,19096
1059,19056
1060,19770
1061,19250
1062,20030
1063,20054
1064,19582
1065,19926
1066,19858
1067,20062
1068,20030
1069,20122
1070,19978
1071,20056
1072,19952
1073,19326
1074,20206
1075,21080
1076,20056
1077,19904
1078,18998
1079,18994
1080,18810
1081,18970
1082,19202
1083,18620
1084,18800
1085,18894
1086,19050
1087,17806
1088,18392
1089,18616
1090,18994
1091,17674
1092,18466
1093,18204
1094,19450
1095,20068
1096,19038
1097,17894
1098,20606
1099,20120
1100,19864
1101,19978
1102,20066
1103,19950
1104,19390
1105,19358
1106,19444
1107,19710
1108,19440
1109,19916
1110,18292
1111,18774
1112,18920
1113,19046
1114,19158
1115,19430
1116,19142
1117,19354
1118,19180
1119,19044
1120,19138
1121,18868
1122,18286
1123,18720
1124,18996
1125,19016
1126,19058
1127,18952
1128,19050
1129,18970
1130,18726
1131,18968
1132,19110
1133,19200
1134,18768
1135,19116
1136,19444
1137,19006
1138,18082
1139,19356
1140,19352
1141,19908
1142,19814
1143,19590
1144,19680
1145,19824
1146,19824
1147,19862
1148,19778
1149,19782
1150,19378
1151,19050
1152,18516
1153,18578
1154,18248
1155,17722
1156,18002
1157,17940
1158,17962
1159,17630
1160,17084
1161,17842
1162,17996
1163,17936
1164,17748
1165,17706
1166,18156
1167,17710
1168,17654
1169,17772
1170,18010
1171,17756
1172,17906
1173,17714
1174,17092
1175,17752
1176,17652
1177,17668
1178,17806
1179,17628
1180,18314
1181,17838
1182,19498
1183,19338
1184,19200
1185,19302
1186,19288
1187,19396
1188,19424
1189,19444
1190,19288
1191,19336
1192,19388
1193,18916
1194,18988
1195,19258
1196,18762
1197,19046
1198,19190
1199,19578
1200,19158
1201,19354
1202,19372
1203,19238
1204,19306
1205,19784
1206,19786
1207,19286
1208,19472
1209,19736
1210,19500
1211,20932
1212,20248
1213,19686
1214,19950
1215,18396
1216,18580
1217,18570
1218,18760
1219,17902
1220,18328
1221,18568
1222,18108
1223,19426
1224,18612
1225,19770
1226,19580
1227,19660
1228,19500
1229,19762
1230,19576
1231,19596
1232,19352
