rep,cycles
0,3582
1,2637
2,2568
3,3483
4,2574
5,2478
6,2535
7,2553
8,2760
9,2715
10,2550
11,3396
12,2523
13,2520
14,3594
15,2523
16,2520
17,3657
18,2517
19,2541
20,2583
21,2499
22,2664
23,2590
24,3282
25,2658
26,2566
27,2456
28,2750
29,3368
30,2618
31,2504
32,2592
33,2596
34,2558
35,2601
36,2658
37,2598
38,2679
39,3490
40,2566
41,2662
42,2572
43,2832
44,3262
45,2596
46,2514
47,3474
48,2638
49,2502
50,2596
51,2454
52,3432
53,2520
54,2500
55,2590
56,2514
57,3100
58,2512
59,2692
60,2562
61,2564
62,2572
63,2596
64,2500
65,3416
66,2668
67,2636
68,2662
69,2698
70,2606
71,2588
72,2492
73,3716
74,2636
75,2560
76,2496
77,2550
78,3526
79,2596
80,2662
81,2832
82,2606
83,2604
84,2588
85,2602
86,3522
87,2562
88,2610
89,2702
90,2640
91,3474
92,2594
93,2648
94,2592
95,2692
96,2570
97,2560
98,2566
99,2664
100,2466
101,2562
102,2564
103,2592
104,3382
105,2562
106,2644
107,2592
108,2556
109,2754
110,2716
111,2638
112,2512
113,2564
114,2592
115,2692
116,2506
117,3452
118,2504
119,2636
120,2524
121,2540
122,2976
123,2610
124,2636
125,2544
126,2518
127,2606
128,2644
129,2564
130,3474
131,2590
132,2514
133,2600
134,2500
135,2904
136,2568
137,2566
138,2500
139,2500
140,2524
141,2540
142,2512
143,2500
144,2498
145,2590
146,2600
147,2514
148,3288
149,2588
150,2738
151,2620
152,2640
153,3516
154,2643
155,2604
156,3555
157,2721
158,2589
159,2688
160,2580
161,2694
162,2676
163,2649
164,3471
165,2661
166,2763
167,3564
168,2580
169,2748
170,2574
171,2676
172,2634
173,2688
174,2583
175,2670
176,2703
177,2662
178,2684
179,2636
180,3552
181,2752
182,2664
183,2640
184,2602
185,2750
186,2592
187,2566
188,3840
189,2500
190,2640
191,2552
192,2616
193,3522
194,2734
195,2610
196,2616
197,2646
198,2638
199,2588
200,2604
201,3516
202,2664
203,2514
204,2616
205,2738
206,3578
207,2640
208,2642
209,2616
210,2610
211,2612
212,2506
213,2762
214,3372
215,2566
216,2684
217,2608
218,2646
219,2712
220,2610
221,2610
222,3500
223,2520
224,2650
225,2510
226,2570
227,3466
228,2648
229,2698
230,2560
231,2610
232,2734
233,2752
234,2546
235,3554
236,2654
237,2650
238,2640
239,2762
240,3468
241,2662
242,2610
243,2710
244,2612
245,2506
246,2762
247,2564
248,3514
249,2648
250,2602
251,2662
252,2610
253,2590
254,2604
255,2686
256,2654
257,2614
258,2548
259,2610
260,2650
261,3430
262,2732
263,2696
264,2610
265,2686
266,2714
267,2698
268,2658
269,3422
270,2562
271,2662
272,2570
273,2552
274,3522
275,2600
276,2714
277,2546
278,2614
279,2558
280,2636
281,2668
282,3572
283,2550
284,2640
285,2600
286,2596
287,3504
288,2588
289,2668
290,2612
291,2506
292,39734
293,3330
294,3147
295,3165
296,3459
297,3117
298,3198
299,3591
300,3165
301,3174
302,3597
303,3138
304,3144
305,3456
306,3228
307,3279
308,3552
309,3222
310,3183
311,3702
312,3096
313,3162
314,3624
315,3282
316,3072
317,3100
318,3044
319,3234
320,3166
321,3186
322,3070
323,3118
324,3228
325,3762
326,3196
327,3260
328,3996
329,3114
330,3186
331,3940
332,3148
333,3226
334,4058
335,3144
336,3116
337,4084
338,3196
339,3118
340,3036
341,3144
342,3170
343,3190
344,3360
345,3334
346,3308
347,3000
348,4034
349,3084
350,3266
351,4042
352,3166
353,3226
354,4242
355,3182
356,3182
357,4004
358,3096
359,3138
360,3134
361,3144
362,3044
363,3184
364,3182
365,3658
366,3324
367,3072
368,3984
369,3184
370,3182
371,3910
372,3164
373,3036
374,4052
375,3094
376,3176
377,4046
378,3164
379,3068
380,3234
381,3282
382,3184
383,3164
384,2980
385,3178
386,3182
387,3236
388,4080
389,3092
390,3082
391,3956
392,3182
393,3168
394,3990
395,3068
396,3116
397,4008
398,3078
399,3142
400,4050
401,3124
402,3228
403,3236
404,3126
405,3148
406,3214
407,3166
408,3790
409,3122
410,3126
411,3992
412,3192
413,3136
414,4224
415,3122
416,3122
417,3998
418,3068
419,3084
420,3946
421,3084
422,3368
423,3072
424,3226
425,3118
426,3268
427,3116
428,3814
429,3118
430,3088
431,4034
432,3138
433,3174
434,4028
435,3176
436,3356
437,4010
438,3100
439,3132
440,4084
441,3374
442,3172
443,3084
444,3142
445,3232
446,3142
447,3048
448,3192
449,3076
450,3082
451,3868
452,3100
453,3238
454,4028
455,3120
456,3168
457,3998
458,3192
459,3132
460,4100
461,3130
462,3032
463,4180
464,3134
465,3164
466,4006
467,3266
468,3234
469,3174
470,3100
471,3092
472,3100
473,3114
474,3580
475,3172
476,3084
477,4106
478,3090
479,3038
480,4088
481,3318
482,3276
483,4174
484,3284
485,3218
486,4032
487,3170
488,3134
489,3860
490,3212
491,3140
492,3214
493,3314
494,3092
495,3100
496,3114
497,3328
498,3180
499,3184
500,3996
501,3172
502,3086
503,4006
504,3038
505,3132
506,3984
507,3180
508,3120
509,4150
510,3270
511,3120
512,3168
513,3326
514,3172
515,3086
516,3168
517,3272
518,3172
519,3086
520,3904
521,3084
522,3136
523,3964
524,3086
525,3318
526,4148
527,3132
528,3184
529,4106
530,3092
531,3100
532,3914
533,3454
534,3178
535,4044
536,3182
537,3184
538,3184
539,3082
540,3216
541,3454
542,3220
543,3168
544,3144
545,3074
546,4076
547,3100
548,3176
549,3906
550,3212
551,3176
552,4074
553,3178
554,3100
555,4000
556,3234
557,3098
558,4030
559,3124
560,3228
561,3100
562,3082
563,3216
564,3454
565,3220
566,3282
567,3216
568,3236
569,4104
570,3276
571,3092
572,3950
573,3098
574,3098
575,4078
576,3176
577,3184
578,4030
579,3280
580,3178
581,4056
582,3140
583,3078
584,3312
585,3360
586,3216
587,3176
588,3308
589,3284
590,3100
591,3322
592,4184
593,3320
594,3272
595,4172
596,3092
597,3100
598,4074
599,3380
600,3195
601,3312
602,4104
603,3198
604,3225
605,4086
606,3324
607,3312
608,3342
609,3267
610,3282
611,3486
612,3162
613,3300
614,3441
615,3276
616,3288
617,3378
618,3201
619,3213
620,3405
621,3297
622,3213
623,3321
624,3288
625,3207
626,3498
627,3216
628,3194
629,3170
630,3222
631,3262
632,3218
633,3272
634,4172
635,3212
636,3084
637,4096
638,3140
639,3092
640,4076
641,3272
642,3176
643,4078
644,3144
645,3098
646,4144
647,3174
648,3234
649,4096
650,3226
651,3240
652,4042
653,3120
654,3098
655,3144
656,3036
657,3124
658,3290
659,3174
660,3704
661,3292
662,3360
663,4090
664,3194
665,3222
666,4030
667,3244
668,3118
669,4232
670,3220
671,3118
672,3986
673,3236
674,3036
675,4008
676,3290
677,3224
678,3134
679,3146
680,3260
681,3224
682,3132
683,3330
684,3272
685,3366
686,4004
687,3148
688,3032
689,4270
690,3252
691,3270
692,3966
693,3182
694,3252
695,4034
696,3176
697,3336
698,4088
699,3238
700,3138
701,4050
702,3172
703,3244
704,3116
705,3220
706,3024
707,3216
708,3270
709,3406
710,3120
711,3212
712,4012
713,3272
714,3238
715,4248
716,3078
717,3168
718,4012
719,3120
720,3036
721,4086
722,3096
723,3242
724,3858
725,3030
726,3132
727,3146
728,3174
729,3266
730,3218
731,3230
732,3456
733,3098
734,3144
735,3960
736,3130
737,3080
738,3958
739,3330
740,3086
741,4140
742,3120
743,3120
744,4152
745,3174
746,3224
747,4098
748,3176
749,3234
750,3180
751,3084
752,3308
753,3268
754,3180
755,3224
756,3120
757,3212
758,3816
759,3192
760,3214
761,3938
762,3282
763,3180
764,4132
765,3174
766,3146
767,3996
768,3140
769,3122
770,3892
771,3314
772,3120
773,4104
774,3144
775,3314
776,4136
777,3262
778,3120
779,3122
780,3314
781,3310
782,3142
783,3140
784,3168
785,3132
786,3120
787,3674
788,3224
789,3120
790,4190
791,3214
792,3224
793,4128
794,3120
795,3172
796,3916
797,3172
798,3148
799,4056
800,3076
801,3140
802,4086
803,3096
804,3134
805,3262
806,3148
807,3180
808,3078
809,3036
810,3050
811,3030
812,3166
813,3900
814,3174
815,3176
816,3986
817,3310
818,3164
819,4004
820,3034
821,3122
822,4050
823,3214
824,3122
825,4000
826,3234
827,3148
828,4104
829,3176
830,3004
831,3050
832,3242
833,3168
834,3218
835,3146
836,3512
837,3212
838,3148
839,4044
840,3098
841,3214
842,4052
843,3224
844,3272
845,4000
846,3194
847,3278
848,4248
849,3132
850,3096
851,4054
852,3224
853,3184
854,3938
855,3140
856,3116
857,3224
858,3140
859,3224
860,3132
861,3308
862,3476
863,3216
864,3182
865,3950
866,3118
867,3036
868,3934
869,3120
870,3036
871,3990
872,3194
873,3180
874,4050
875,3148
876,3180
877,4140
878,3132
879,3094
880,3176
881,3216
882,3074
883,3086
884,3128
885,3714
886,3180
887,3224
888,4002
889,3004
890,3050
891,3942
892,3168
893,3080
894,4086
895,3196
896,3224
897,4128
898,3192
899,3166
900,4156
901,3176
902,3030
903,3982
904,3166
905,3172
906,3310
907,3194
908,3128
909,4058
910,3148
911,3240
912,3950
913,3094
914,3132
915,4040
916,3182
917,3356
918,4048
919,3236
920,3172
921,4050
922,3164
923,3086
924,3116
925,3134
926,3216
927,3224
928,3120
929,3282
930,3174
931,3174
932,3552
933,3218
934,3084
