rep,cycles
0,268
1,252
2,252
3,240
4,242
5,244
6,242
7,246
8,246
9,242
10,260
11,242
12,242
13,244
14,246
15,240
16,242
17,242
18,246
19,956
20,242
21,244
22,242
23,246
24,242
25,242
26,242
27,238
28,242
29,240
30,238
31,246
32,244
33,240
34,760
35,242
36,246
37,242
38,260
39,244
40,240
41,246
42,242
43,242
44,242
45,242
46,246
47,240
48,240
49,770
50,242
51,244
52,240
53,240
54,244
55,242
56,240
57,242
58,242
59,242
60,240
61,240
62,242
63,244
64,820
65,244
66,244
67,242
68,258
69,242
70,246
71,240
72,240
73,246
74,240
75,240
76,242
77,246
78,242
79,782
80,242
81,244
82,242
83,242
84,242
85,256
86,242
87,242
88,258
89,242
90,244
91,240
92,240
93,244
94,860
95,240
96,242
97,246
98,260
99,258
100,256
101,242
102,242
103,244
104,240
105,244
106,242
107,244
108,240
109,908
110,258
111,244
112,244
113,246
114,240
115,240
116,244
117,242
118,258
119,244
120,238
121,246
122,242
123,242
124,816
125,242
126,246
127,240
128,240
129,242
130,246
131,244
132,240
133,242
134,244
135,256
136,240
137,242
138,242
139,872
140,242
141,240
142,244
143,242
144,258
145,244
146,242
147,246
148,244
149,240
150,242
151,240
152,242
153,246
154,902
155,242
156,256
157,242
158,242
159,244
160,240
161,244
162,242
163,244
164,240
165,240
166,244
167,258
168,242
169,852
170,242
171,242
172,240
173,240
174,242
175,244
176,238
177,246
178,242
179,242
180,244
181,240
182,258
183,244
184,878
185,244
186,258
187,258
188,246
189,244
190,242
191,244
192,246
193,244
194,240
195,258
196,242
197,240
198,242
199,772
200,242
201,244
202,242
203,258
204,242
205,256
206,242
207,240
208,242
209,244
210,246
211,244
212,240
213,242
214,916
215,242
216,240
217,258
218,242
219,242
220,240
221,242
222,242
223,242
224,242
225,244
226,244
227,244
228,258
229,830
230,242
231,246
232,240
233,260
234,242
235,242
236,244
237,242
238,244
239,240
240,242
241,242
242,246
243,244
244,902
245,240
246,244
247,242
248,242
249,242
250,244
251,240
252,240
253,242
254,240
255,240
256,258
257,244
258,242
259,822
260,244
261,240
262,242
263,240
264,242
265,246
266,260
267,258
268,256
269,242
270,242
271,244
272,240
273,244
274,912
275,242
276,240
277,240
278,244
279,258
280,242
281,258
282,244
283,244
284,246
285,242
286,258
287,242
288,240
289,852
290,242
291,246
292,242
293,260
294,242
295,242
296,240
297,242
298,246
299,244
300,240
301,242
302,244
303,242
304,900
305,242
306,240
307,238
308,242
309,240
310,238
311,244
312,242
313,244
314,242
315,258
316,242
317,256
318,242
319,834
320,244
321,244
322,242
323,258
324,258
325,242
326,244
327,242
328,240
329,244
330,242
331,240
332,240
333,242
334,924
335,242
336,246
337,260
338,240
339,242
340,244
341,242
342,244
343,244
344,240
345,260
346,242
347,242
348,244
349,824
350,242
351,242
352,242
353,242
354,246
355,244
356,240
357,242
358,244
359,240
360,244
361,242
362,244
363,240
364,908
365,258
366,244
367,244
368,246
369,242
370,258
371,242
372,240
373,258
374,244
375,240
376,246
377,242
378,246
379,810
380,244
381,242
382,244
383,258
384,242
385,244
386,242
387,242
388,242
389,244
390,242
391,242
392,242
393,256
394,884
395,246
396,242
397,244
398,242
399,258
400,242
401,256
402,242
403,242
404,242
405,244
406,246
407,244
408,240
409,818
410,244
411,240
412,242
413,242
414,242
415,242
416,258
417,242
418,242
419,238
420,242
421,240
422,238
423,242
424,920
425,242
426,242
427,258
428,242
429,256
430,242
431,240
432,242
433,244
434,246
435,244
436,240
437,242
438,244
439,868
440,242
441,246
442,242
443,240
444,242
445,244
446,240
447,244
448,242
449,240
450,244
451,242
452,244
453,240
454,904
455,242
456,246
457,240
458,242
459,242
460,242
461,246
462,260
463,258
464,256
465,242
466,242
467,256
468,242
469,832
470,242
471,240
472,240
473,240
474,244
475,240
476,240
477,242
478,240
479,240
480,258
481,244
482,242
483,246
484,916
485,242
486,242
487,260
488,258
489,244
490,240
491,246
492,244
493,242
494,244
495,240
496,242
497,246
498,242
499,858
500,242
501,244
502,242
503,242
504,242
505,256
506,242
507,242
508,244
509,238
510,242
511,242
512,244
513,240
514,822
515,242
516,242
517,246
518,260
519,240
520,240
521,242
522,246
523,244
524,240
525,242
526,244
527,242
528,246
529,812
530,244
531,244
532,244
533,260
534,240
535,242
536,242
537,242
538,258
539,242
540,240
541,258
542,244
543,242
544,784
545,242
546,246
547,242
548,240
549,246
550,240
551,242
552,246
553,244
554,242
555,240
556,240
557,242
558,242
559,808
560,242
561,240
562,244
563,242
564,244
565,240
566,242
567,258
568,258
569,258
570,244
571,240
572,246
573,242
574,862
575,240
576,242
577,242
578,246
579,244
580,240
581,242
582,244
583,242
584,242
585,242
586,242
587,242
588,242
589,804
590,242
591,242
592,242
593,240
594,242
595,246
596,240
597,260
598,242
599,240
600,258
601,242
602,242
603,258
604,804
605,242
606,242
607,244
608,242
609,242
610,244
611,242
612,244
613,240
614,242
615,244
616,242
617,242
618,240
619,908
620,258
621,244
622,244
623,242
624,244
625,240
626,244
627,242
628,258
629,242
630,240
631,242
632,244
633,240
634,822
635,242
636,246
637,242
638,274
639,252
640,266
641,240
642,240
643,244
644,242
645,244
646,240
647,242
648,258
649,240
650,240
651,242
652,242
653,244
654,242
655,244
656,240
657,242
658,242
659,240
660,242
661,242
662,862
663,242
664,244
665,240
666,240
667,244
668,240
669,240
670,242
671,240
672,240
673,258
674,244
675,242
676,246
677,916
678,242
679,240
680,242
681,258
682,244
683,240
684,246
685,244
686,242
687,246
688,240
689,242
690,240
691,244
692,810
693,242
694,244
695,244
696,240
697,240
698,240
699,244
700,242
701,244
702,240
703,240
704,244
705,238
706,246
707,770
708,242
709,242
710,246
711,242
712,242
713,240
714,240
715,244
716,240
717,242
718,246
719,244
720,242
721,258
722,832
723,242
724,244
725,244
726,260
727,242
728,240
729,244
730,240
731,258
732,242
733,240
734,258
735,242
736,242
737,784
738,242
739,240
740,244
741,242
742,258
743,240
744,258
745,242
746,244
747,246
748,244
749,246
750,244
751,246
752,768
753,242
754,240
755,244
756,242
757,244
758,240
759,242
760,240
761,258
762,258
763,244
764,240
765,246
766,242
767,784
768,244
769,240
770,242
771,244
772,240
773,242
774,240
775,242
776,240
777,240
778,242
779,242
780,238
781,242
782,922
783,240
784,244
785,260
786,240
787,242
788,244
789,244
790,244
791,244
792,242
793,258
794,242
795,242
796,244
797,824
798,242
799,240
800,242
801,242
802,246
803,242
804,240
805,242
806,244
807,240
808,244
809,242
810,240
811,244
812,914
813,258
814,244
815,242
816,242
817,244
818,240
819,242
820,242
821,242
822,246
823,242
824,258
825,256
826,242
827,836
828,244
829,240
830,242
831,260
832,258
833,244
834,244
835,242
836,244
837,240
838,242
839,258
840,242
841,244
842,872
843,242
844,246
845,240
846,260
847,242
848,244
849,240
850,246
851,260
852,258
853,256
854,242
855,240
856,256
857,884
858,240
859,240
860,240
861,244
862,242
863,240
864,240
865,240
866,242
867,240
868,240
869,258
870,244
871,242
872,818
873,244
874,240
875,242
876,242
877,242
878,246
879,242
880,258
881,256
882,242
883,242
884,256
885,242
886,238
887,926
888,242
889,242
890,242
891,242
892,240
893,240
894,242
895,240
896,240
897,258
898,244
899,242
900,246
901,244
902,868
903,242
904,240
905,244
906,240
907,258
908,242
909,240
910,242
911,242
912,240
913,242
914,244
915,242
916,242
917,914
918,244
919,242
920,242
921,242
922,256
923,242
924,242
925,244
926,238
927,242
928,244
929,240
930,242
931,242
932,862
933,244
934,244
935,242
936,258
937,258
938,242
939,244
940,242
941,242
942,244
943,246
944,242
945,246
946,244
947,902
948,242
949,240
950,240
951,244
952,242
953,244
954,240
955,242
956,258
957,240
958,240
959,242
960,242
961,244
962,824
963,242
964,242
965,242
966,242
967,240
968,242
969,242
970,246
971,242
972,240
973,242
974,244
975,240
976,244
977,914
978,242
979,240
980,240
981,258
982,244
983,242
984,246
985,244
986,240
987,242
988,242
989,242
990,246
991,258
992,852
993,244
994,242
995,244
996,240
997,242
998,246
999,242
1000,242
1001,240
1002,240
1003,244
1004,240
1005,240
1006,242
1007,952
1008,240
1009,246
1010,240
1011,258
1012,242
1013,240
1014,258
1015,244
1016,240
1017,246
1018,242
1019,240
1020,244
1021,242
1022,854
1023,244
1024,244
1025,240
1026,242
1027,244
1028,240
1029,244
1030,242
1031,244
1032,242
1033,242
1034,256
1035,242
1036,242
1037,638
1038,240
1039,244
1040,260
1041,242
1042,256
1043,242
1044,242
1045,242
1046,244
1047,240
1048,258
1049,256
1050,242
1051,242
1052,804
1053,242
1054,246
1055,240
1056,242
1057,240
1058,240
1059,244
1060,240
1061,240
1062,242
1063,258
1064,242
1065,244
1066,238
1067,824
1068,242
1069,240
1070,242
1071,242
1072,242
1073,244
1074,242
1075,244
1076,240
1077,242
1078,242
1079,242
1080,244
1081,240
1082,814
1083,242
1084,244
1085,240
1086,240
1087,244
1088,242
1089,242
1090,256
1091,242
1092,242
1093,244
1094,238
1095,260
1096,242
1097,782
1098,244
1099,244
1100,242
1101,258
1102,242
1103,240
1104,242
1105,244
1106,242
1107,244
1108,240
1109,242
1110,246
1111,240
1112,816
1113,240
1114,242
1115,242
1116,242
1117,242
1118,244
1119,242
1120,242
1121,242
1122,244
1123,242
1124,258
1125,242
1126,256
1127,882
1128,246
1129,244
1130,244
1131,242
1132,258
1133,258
1134,242
1135,242
1136,242
1137,242
1138,244
1139,242
1140,240
1141,240
1142,830
1143,242
1144,244
1145,244
1146,260
1147,240
1148,242
1149,244
1150,240
1151,244
1152,246
1153,240
1154,260
1155,242
1156,242
1157,880
1158,240
1159,242
1160,242
1161,240
1162,240
1163,244
1164,244
1165,240
1166,242
1167,258
1168,242
1169,244
1170,244
1171,242
1172,772
1173,242
1174,240
1175,242
1176,242
1177,244
1178,240
1179,242
1180,258
1181,240
1182,240
1183,242
1184,244
1185,240
1186,246
1187,902
1188,242
1189,256
1190,242
1191,240
1192,256
1193,242
1194,238
1195,244
1196,240
1197,244
1198,242
1199,240
1200,240
1201,240
1202,858
1203,240
1204,240
1205,244
1206,240
1207,258
1208,244
1209,238
1210,246
1211,242
1212,242
1213,244
1214,240
1215,242
1216,242
1217,882
1218,246
1219,244
1220,240
1221,242
1222,240
1223,244
1224,242
1225,258
1226,242
1227,242
1228,238
1229,242
1230,240
1231,242
1232,818
1233,242
1234,244
1235,242
1236,258
1237,242
1238,256
1239,240
1240,242
1241,242
1242,244
1243,246
1244,244
1245,240
1246,242
1247,910
1248,242
1249,240
1250,258
1251,242
1252,242
1253,240
1254,242
1255,240
1256,238
1257,242
1258,240
1259,238
1260,242
1261,244
1262,860
1263,242
1264,246
1265,240
1266,260
1267,242
1268,242
1269,244
1270,242
1271,244
1272,240
1273,242
1274,242
1275,240
1276,242
1277,914
1278,242
1279,244
1280,240
1281,244
1282,242
1283,244
1284,240
1285,240
1286,242
1287,258
1288,242
1289,242
1290,244
1291,242
1292,822
1293,244
1294,240
1295,242
1296,242
1297,242
1298,246
1299,260
1300,258
1301,256
1302,242
1303,240
1304,256
1305,242
1306,238
1307,926
1308,242
1309,242
1310,242
1311,242
1312,240
1313,240
1314,242
1315,240
1316,240
1317,258
1318,244
1319,242
1320,242
1321,244
1322,868
1323,242
1324,240
1325,244
1326,240
1327,258
1328,242
1329,240
1330,242
1331,242
1332,240
1333,242
1334,244
1335,242
1336,242
1337,910
1338,258
1339,242
1340,242
1341,246
1342,244
1343,242
1344,244
1345,258
1346,240
1347,244
1348,240
1349,240
1350,244
1351,244
1352,810
1353,244
1354,244
1355,242
1356,258
1357,258
1358,242
1359,244
1360,242
1361,242
1362,244
1363,242
1364,240
1365,240
1366,242
1367,922
1368,240
1369,244
1370,240
1371,258
1372,242
1373,244
1374,240
1375,244
1376,240
1377,240
1378,244
1379,244
1380,242
1381,258
1382,832
1383,240
1384,242
1385,242
1386,242
1387,240
1388,242
1389,242
1390,246
1391,242
1392,240
1393,242
1394,244
1395,240
1396,244
1397,914
1398,242
1399,240
1400,240
1401,258
1402,244
1403,242
1404,246
1405,244
1406,240
1407,242
1408,242
1409,242
1410,246
1411,260
1412,852
1413,244
1414,242
1415,246
1416,240
1417,242
1418,246
1419,242
1420,242
1421,240
1422,240
1423,240
1424,240
1425,240
1426,242
1427,952
1428,240
1429,246
1430,240
1431,258
1432,242
1433,240
1434,258
1435,244
1436,240
1437,246
1438,242
1439,240
1440,244
1441,242
1442,854
1443,244
1444,240
1445,242
1446,240
1447,244
1448,242
1449,258
1450,242
1451,242
1452,238
1453,242
1454,240
1455,238
1456,242
1457,920
1458,242
1459,242
1460,258
1461,242
1462,256
1463,240
1464,242
1465,242
1466,244
1467,246
1468,244
1469,240
1470,242
1471,244
1472,868
1473,242
1474,246
1475,242
1476,240
1477,242
1478,244
1479,240
1480,244
1481,242
1482,240
1483,244
1484,242
1485,244
1486,240
1487,900
1488,242
1489,244
1490,240
1491,246
1492,242
1493,242
1494,246
1495,260
1496,258
1497,256
1498,242
1499,242
1500,256
1501,242
1502,832
1503,242
1504,244
1505,240
1506,240
