rep,cycles
0,264616
1,259002
2,265526
3,253342
4,259448
5,260164
6,260246
7,256344
8,264300
9,261440
10,266128
11,255326
12,261202
13,260894
14,261792
15,256178
16,265480
17,261598
18,264784
19,265430
20,249448
21,259080
22,262838
23,261254
24,257108
25,255690
26,250686
27,257346
28,255864
29,258720
30,251866
31,257626
32,259718
33,263422
34,261524
35,260292
36,254588
37,263786
38,254868
39,258944
40,259918
41,260954
42,255926
43,257792
44,255014
45,261814
46,258436
47,260442
48,262630
49,259624
50,252756
51,258568
52,259260
53,263520
54,257930
55,256264
56,262594
57,261600
58,256584
59,273592
60,264948
61,258574
62,262294
63,266576
64,260686
65,254072
66,256392
67,259574
68,260476
69,258460
70,260202
71,259290
72,262128
73,254116
74,253752
75,261150
76,259412
77,253004
78,260634
79,260074
80,256894
81,258292
82,271678
83,255478
84,258844
85,254320
86,261712
87,258372
88,263622
89,257560
90,258932
91,257580
92,262586
93,257528
94,266402
95,261664
96,259300
97,265368
98,269344
99,261004
100,260092
101,258574
102,261210
103,253302
104,256764
105,267668
106,263628
107,259172
108,254780
109,266522
110,257820
111,255882
112,251482
113,262108
114,248128
115,258378
116,257376
117,266268
118,254396
119,255308
120,254420
121,267596
122,253658
123,254376
124,256216
125,262050
126,260384
127,259112
128,262094
129,255448
130,257376
131,257830
132,258274
133,255702
134,256122
135,252118
136,267580
137,255908
138,256404
139,258404
140,263046
141,261716
142,256332
143,262842
144,263396
145,256704
146,257816
147,256982
148,267184
149,256446
150,257030
151,261782
152,257542
153,256644
154,258380
155,259332
156,257100
157,254462
158,256748
159,266246
160,259964
161,258360
162,261768
163,259440
164,260210
165,260336
166,255640
167,262560
168,257320
169,256508
170,262522
171,260850
172,251486
173,258970
174,267494
175,258890
176,264140
177,256704
178,262268
179,261264
180,255288
181,257564
182,260682
183,257244
184,257940
185,256124
186,270138
187,260744
188,250262
189,262704
190,252576
191,260210
192,260144
193,263498
194,255640
195,257208
196,259562
197,260098
198,256838
199,259428
200,261328
201,264070
202,260124
203,264322
204,258522
205,261960
206,254164
207,260634
208,271588
209,262298
210,252396
211,257128
212,259870
213,255644
214,262670
215,257784
216,263454
217,267434
218,259434
219,262840
220,260304
221,261210
222,254658
223,257892
224,258244
225,255210
226,266012
227,255934
228,262848
229,259318
230,254796
231,269762
232,254092
233,258750
234,258032
235,258970
236,256604
237,259764
238,254882
239,262116
240,255264
241,255292
242,258678
243,259478
244,255412
245,260790
246,265276
247,256988
248,260692
249,262702
250,260544
251,267664
252,262754
253,262750
254,268576
255,264596
256,258714
257,256994
258,266556
259,258324
260,261876
261,257250
262,261928
263,255714
264,255966
265,256212
266,262106
267,256964
268,264618
269,259098
270,256842
271,253778
272,260856
273,259524
274,269926
275,256472
276,265172
277,264032
278,256250
279,258722
280,258116
281,259554
282,255342
283,256642
284,259962
285,262422
286,260320
287,257122
288,258828
289,266470
290,257538
291,258100
292,260364
293,263812
294,260134
295,988652
296,266744
297,254194
298,259538
299,254654
300,261026
301,257684
302,260178
303,261976
304,265134
305,264210
306,258362
307,255456
308,257620
309,257460
310,253392
311,257310
312,265682
313,256596
314,255714
315,261772
316,259150
317,260910
318,256264
319,261030
320,258230
321,254128
322,256912
323,261692
324,255738
325,256724
326,257734
327,266058
328,260242
329,261652
330,260036
331,262082
332,262358
333,256412
334,260136
335,263074
336,265142
337,259682
338,258360
339,255696
340,256000
341,258444
342,300680
343,255714
344,252310
345,261852
346,261936
347,257360
348,253760
349,262128
350,263938
351,259114
352,255448
353,260128
354,255620
355,254464
356,256690
357,271718
358,258804
359,263028
360,263858
361,260326
362,257278
363,256148
364,257668
365,292155
366,257738
367,261684
368,255412
369,264144
370,255544
371,259098
372,254594
373,258902
374,261556
375,255662
376,270810
377,257452
378,263010
379,258004
380,258056
381,260908
382,259202
383,260246
384,266380
385,263742
386,252024
387,255652
388,262946
389,259068
390,260298
391,256222
392,260932
393,259196
394,260804
395,259028
396,262072
397,257898
398,256998
399,269124
400,262630
401,258138
402,261602
403,263386
404,261524
405,258020
406,261064
407,264144
408,257010
409,260792
410,257950
411,265884
412,257498
413,256420
414,256034
415,267404
416,258810
417,253684
418,268824
419,262094
420,260102
421,262772
422,261130
423,254734
424,261540
425,258382
426,267844
427,260678
428,254398
429,262938
430,266724
431,255794
432,256936
433,260444
434,258264
435,256338
436,257086
437,272776
438,262934
439,258642
440,258502
441,265258
442,254168
443,255682
444,256070
445,268882
446,257684
447,256756
448,262424
449,263562
450,256220
451,257568
452,260186
453,266312
454,262842
455,259532
456,253412
457,258612
458,261146
459,257846
460,268904
461,256416
462,255166
463,258658
464,261686
465,256746
466,253522
467,254592
468,263366
469,256460
470,261478
471,256322
472,261932
473,257956
474,253122
475,259964
476,266540
477,261836
478,260594
479,251282
480,259908
481,257424
482,261498
483,268078
484,261090
485,256242
486,261058
487,265124
488,256074
489,257810
490,259460
491,263154
492,256236
493,261526
494,260890
495,261252
496,260836
497,262552
498,259540
499,259286
500,260160
501,256970
502,262872
503,261170
504,259566
505,256750
506,261346
507,256218
508,262792
509,261458
510,262046
511,257568
512,263304
513,261976
514,265474
515,254854
516,256472
517,260032
518,255272
519,256974
520,257460
521,253564
522,265428
523,257840
524,262464
525,265914
526,261490
527,260590
528,263058
529,261716
530,255456
531,255446
532,264352
533,262700
534,259622
535,263332
536,258494
537,259816
538,254872
539,255404
540,266210
541,255168
542,254292
543,251070
544,262464
545,258240
546,259704
547,261758
548,261862
549,253190
550,254288
551,260178
552,266820
553,260146
554,258036
555,261348
556,264320
557,263794
558,259328
559,257174
560,269076
561,262270
562,249644
563,264458
564,261314
565,255782
566,267396
567,260584
568,253956
569,262746
570,259028
571,263592
572,261132
573,256224
574,260032
575,264574
576,257996
577,259672
578,255932
579,261880
580,256206
581,270598
582,260838
583,261868
584,260962
585,266104
586,269856
587,257270
588,262596
589,261286
590,260010
591,256766
592,258632
593,254448
594,258528
595,257768
596,264460
597,257968
598,267788
599,255538
600,253414
601,262986
602,259952
603,256120
604,259382
605,253630
606,262508
607,255724
608,256348
609,267542
610,257150
611,255856
612,255360
613,261764
614,252818
615,259668
616,254444
617,263982
618,254344
619,263844
620,256772
621,262700
622,261080
623,259942
624,257532
625,263002
626,254882
627,255348
628,258998
629,262954
630,258954
631,257270
632,262460
633,257148
634,261358
635,263662
636,258482
637,256654
638,258578
639,259634
640,261664
641,257790
642,257124
643,251516
644,261924
645,260636
646,255060
647,255086
648,264760
649,260776
650,260136
651,265602
652,255736
653,318077
654,259866
655,262992
656,253924
657,258186
658,255912
659,255652
660,259338
661,263314
662,255560
663,265768
664,252804
665,257872
666,258722
667,263236
668,252948
669,260746
670,261450
671,256530
672,255610
673,254590
674,264528
675,260584
676,262150
677,257182
678,260352
679,256494
680,256158
681,259572
682,255246
683,259474
684,256104
685,256986
686,266426
687,258372
688,257846
689,268268
690,256048
691,255840
692,254970
693,262044
694,256454
695,260098
696,261398
697,265074
698,253592
699,254848
700,258840
701,266408
702,260208
703,255882
704,255864
705,268800
706,252012
707,255786
708,256016
709,272170
710,256776
711,264558
712,265936
713,257994
714,255698
715,256934
716,265954
717,257902
718,257278
719,257320
720,258778
721,255936
722,251124
723,252374
724,269078
725,256620
726,262126
727,254274
728,263944
729,254150
730,257652
731,256762
732,259656
733,258852
734,257974
735,268454
736,256274
737,256682
738,257126
739,260542
740,257808
741,258004
742,259312
743,259834
744,264922
745,259672
746,259198
747,261446
748,260884
749,257158
750,256938
751,269110
752,259288
753,254964
754,259176
755,260930
756,257008
757,255936
758,265418
759,256508
760,259306
761,256822
762,263056
763,256978
764,252380
765,258044
766,262150
767,259940
768,259174
769,262222
770,265982
771,255550
772,259810
773,261212
774,258238
775,258900
776,257610
777,264414
778,256402
779,258312
780,262844
781,262864
782,260182
783,263758
784,257964
785,265236
786,255994
787,257358
788,259112
789,261284
790,260696
791,260518
792,257080
793,264452
794,258848
795,262144
796,261594
797,264872
798,258806
799,257810
800,261802
801,259004
802,259098
803,248156
804,265340
805,253946
806,263902
807,261936
808,260592
809,256532
810,251988
811,259758
812,260948
813,262994
814,254682
815,263612
816,267316
817,262916
818,258568
819,260464
820,259218
821,260114
822,253810
823,262706
824,261326
825,257478
826,260008
827,260260
828,255264
829,262718
830,264538
831,256942
832,264414
833,257270
834,260638
835,263122
836,261094
837,256564
838,263212
839,260066
840,258728
841,256600
842,264950
843,265556
844,256562
845,257008
846,264332
847,256504
848,254290
849,262644
850,265974
851,257710
852,260688
853,258284
854,267356
855,251166
856,267026
857,259054
858,264092
859,260304
860,261170
861,269654
862,255488
863,254014
864,252730
865,262966
866,262214
867,254310
868,260094
869,264194
870,253844
871,257868
872,258950
873,264898
874,255538
875,260900
876,260654
877,265876
878,253580
879,263150
880,261116
881,263832
882,257024
883,260958
884,267706
885,257492
886,258762
887,260018
888,260706
889,252672
890,260050
891,253736
892,263806
893,264316
894,255954
895,258872
896,265884
897,257734
898,262304
899,262674
900,259526
901,257770
902,263106
903,265060
904,261480
905,255842
906,258374
907,261146
908,260152
909,254734
910,254642
911,264382
912,260782
913,260322
914,255176
915,260492
916,255570
917,258008
918,257410
919,262024
920,257054
921,255948
922,260342
923,267896
924,266684
925,252868
926,255452
927,261114
928,261718
929,260102
930,258474
931,260294
932,256634
933,257676
934,259786
935,255648
936,260320
937,263418
938,265826
939,257438
940,259112
941,276950
942,265280
943,266340
944,261672
945,261244
946,260220
947,258240
948,258354
949,298742
950,258860
951,261262
952,255192
953,260796
954,262218
955,260458
956,254826
957,257524
958,256444
959,258032
960,255952
961,266200
962,258036
963,259516
964,267698
965,253406
966,252418
967,260330
968,266108
969,258050
970,253902
971,260036
972,262168
973,264306
974,260702
975,253594
976,264248
977,258570
978,254434
979,260634
980,265376
981,256208
982,256356
983,252116
984,255810
985,256370
986,263530
987,257596
988,264604
989,252400
990,261882
991,260738
992,257974
993,253316
994,252846
995,264674
996,259962
997,249706
998,263772
999,255040
1000,264068
1001,258028
1002,258866
1003,265518
1004,256898
1005,258170
1006,255060
1007,261026
1008,259874
1009,258768
1010,261836
1011,297981
1012,256820
1013,258426
1014,259700
1015,258186
1016,261304
1017,263960
1018,260054
1019,262446
1020,255106
1021,252874
1022,261876
1023,259246
1024,260030
1025,263708
1026,256898
1027,256492
1028,257994
1029,262260
1030,255388
1031,260626
1032,259054
1033,309792
1034,342008
1035,265284
1036,272416
1037,262012
1038,250674
1039,260618
1040,265568
1041,268934
1042,258312
1043,255980
1044,265296
1045,256958
1046,261186
1047,259864
1048,262026
1049,258982
1050,256178
1051,258428
1052,260404
1053,255692
1054,254918
1055,259410
1056,257620
1057,258882
1058,256850
1059,255858
1060,263944
1061,256168
1062,259838
1063,265938
1064,261234
1065,254528
1066,260732
1067,263758
1068,257158
1069,257512
1070,253136
1071,265430
1072,260888
1073,263988
1074,253302
1075,267520
1076,255374
1077,260694
1078,255488
1079,256802
1080,252618
1081,254432
1082,257878
1083,262318
1084,262172
1085,256804
1086,268194
1087,262226
1088,259008
1089,264260
1090,266062
1091,256596
1092,255788
1093,257824
1094,260398
1095,254356
1096,254914
1097,260102
1098,261516
1099,255778
1100,263270
1101,258524
1102,260526
1103,261478
1104,255206
1105,260590
1106,264980
1107,262458
1108,252758
1109,272512
1110,254884
1111,261396
1112,257474
1113,260872
1114,258608
1115,260276
1116,261116
1117,264688
1118,255404
1119,259944
1120,260334
1121,261458
1122,256930
1123,257092
1124,255644
1125,261502
1126,258068
1127,257112
1128,256980
1129,269942
1130,281064
1131,258144
1132,265820
1133,254006
1134,258222
1135,258418
1136,263878
1137,255612
1138,257990
1139,262404
1140,264498
1141,253324
1142,254764
1143,253184
