rep,cycles
0,8502
1,8517
2,8529
3,8505
4,8637
5,9318
6,9294
7,9258
8,8970
9,9314
10,9568
11,8442
12,8424
13,8398
14,8420
15,8344
16,8276
17,8350
18,8380
19,8324
20,8394
21,8366
22,8478
23,9284
24,9072
25,9122
26,9184
27,9272
28,9228
29,8464
30,8658
31,8588
32,8354
33,8390
34,8440
35,8286
36,8514
37,8418
38,8552
39,8400
40,9280
41,9278
42,9264
43,9364
44,9506
45,8536
46,8460
47,8644
48,8488
49,8406
50,10737
51,9591
52,8775
53,8784
54,8733
55,8628
56,43572
57,8600
58,9642
59,9634
60,9424
61,9500
62,9490
63,8678
64,8652
65,8632
66,8686
67,8754
68,8726
69,8810
70,8724
71,9828
72,9522
73,9428
74,9374
75,9716
76,8986
77,8774
78,8838
79,8920
80,8906
81,8846
82,8922
83,9620
84,9416
85,9752
86,9832
87,9050
88,9088
89,8944
90,8900
91,8854
92,8950
93,8914
94,9758
95,9704
96,9788
97,9734
98,9812
99,8776
100,8866
101,8920
102,8842
103,8830
104,9072
105,8942
106,9790
107,9842
108,10048
109,9598
110,9048
111,8900
112,8904
113,9026
114,8928
115,8850
116,8832
117,9810
118,9836
119,9746
120,9748
121,9070
122,9066
123,8830
124,8696
125,8868
126,8998
127,9064
128,9746
129,9706
130,9500
131,9708
132,9678
133,8844
134,8322
135,9130
136,9982
137,10170
138,10128
139,10270
140,9354
141,9360
142,9186
143,9414
144,9508
145,9980
146,9956
147,10270
148,10182
149,9300
150,9216
151,9132
152,9224
153,9366
154,9956
155,10064
156,10242
157,10094
158,9446
159,9416
160,9560
161,9484
162,10192
163,10316
164,10212
165,10120
166,9352
167,9400
168,9424
169,9498
170,9454
171,10370
172,10176
173,10286
174,9848
175,9128
176,9458
177,9416
178,9352
179,10234
180,10290
181,10312
182,10364
183,9352
184,9472
185,9226
186,9592
187,9214
188,10100
189,10340
190,10140
191,10186
192,9286
193,9440
194,9408
195,9566
196,10290
197,10136
198,10358
199,10274
200,9364
201,9442
202,9502
203,9414
204,9446
205,10272
206,10314
207,10128
208,9786
209,9486
210,9478
211,9596
212,9644
213,10422
214,10520
215,10364
216,10548
217,9740
218,10422
219,10172
220,10424
221,10436
222,9666
223,9400
224,9550
225,9500
226,10358
227,10560
228,10096
229,10474
230,9498
231,9614
232,9570
233,9476
234,10176
235,10388
236,10412
237,10428
238,9514
239,9580
240,9550
241,9594
242,10524
243,10466
244,10332
245,9654
246,9588
247,9564
248,9620
249,9644
250,10372
251,10292
252,10432
253,9732
254,9614
255,9614
256,9662
257,9668
258,10406
259,10320
260,10622
261,9832
262,9426
263,9696
264,9638
265,9528
266,10398
267,10316
268,10364
269,10370
270,9512
271,9596
272,9408
273,9832
274,10432
275,10550
276,10362
277,9890
278,9832
279,9496
280,9764
281,10596
282,10412
283,10686
284,10580
285,9610
286,9788
287,9612
288,10466
289,10374
290,10422
291,10698
292,9566
293,9664
294,9562
295,9612
296,10516
297,10542
298,10674
299,9944
300,9570
301,9588
302,9183
303,9222
304,9168
305,8301
306,8682
307,8174
308,8490
309,8392
310,8352
311,8582
312,8412
313,8328
314,8438
315,8434
316,8276
317,8430
318,9164
319,9160
320,9318
321,9162
322,9066
323,9354
324,8326
325,8502
326,8594
327,8350
328,8512
329,8544
330,8462
331,8452
332,8564
333,8544
334,9514
335,9078
336,9086
337,9170
338,9232
339,9210
340,8542
341,8430
342,8448
343,8502
344,8508
345,8574
346,8406
347,8438
348,8562
349,8542
350,9138
351,9226
352,9348
353,9178
354,9256
355,8644
356,8396
357,8426
358,8558
359,8514
360,8514
361,8532
362,8390
363,8440
364,8580
365,8552
366,9504
367,9208
368,9036
369,9330
370,9194
371,8928
372,8624
373,8484
374,8360
375,8700
376,8586
377,8526
378,8596
379,8498
380,8488
381,8410
