rep,cycles
0,645
1,723
2,612
3,750
4,669
5,738
6,1275
7,750
8,624
9,750
10,642
11,642
12,633
13,720
14,723
15,615
16,621
17,750
18,690
19,774
20,678
21,705
22,621
23,750
24,750
25,684
26,1260
27,642
28,834
29,684
30,834
31,825
32,636
33,780
34,618
35,639
36,795
37,633
38,765
39,705
40,780
41,750
42,618
43,618
44,711
45,627
46,762
47,744
48,717
49,660
50,759
51,756
52,681
53,732
54,684
55,720
56,615
57,786
58,765
59,720
60,753
61,627
62,951
63,762
64,675
65,726
66,861
67,696
68,711
69,762
70,639
71,648
72,780
73,618
74,669
75,744
76,744
77,729
78,750
79,636
80,774
81,759
82,1719
83,711
84,674
85,598
86,720
87,768
88,728
89,668
90,618
91,778
92,614
93,614
94,758
95,770
96,632
97,764
98,728
99,656
100,714
101,766
102,750
103,618
104,778
105,1528
106,630
107,714
108,614
109,618
110,846
111,638
112,630
113,622
114,722
115,726
116,802
117,802
118,802
119,674
120,750
121,1424
122,622
123,618
124,776
125,610
126,796
127,614
128,700
129,758
130,612
131,612
132,722
133,802
134,614
135,854
136,754
137,596
138,726
139,732
140,630
141,802
142,612
143,756
144,624
145,708
146,1536
147,802
148,614
149,620
150,658
151,722
152,614
153,922
154,672
155,902
156,762
157,804
158,612
159,608
160,760
161,620
162,738
163,662
164,632
165,704
166,736
167,664
168,616
169,722
170,1574
171,612
172,916
173,756
174,758
175,768
176,632
177,612
178,738
179,622
180,608
181,622
182,756
183,750
184,622
185,752
186,752
187,620
188,760
189,608
190,730
191,616
192,726
193,764
194,722
195,1536
196,622
197,694
198,654
199,708
200,662
201,726
202,730
203,730
204,764
205,794
206,764
207,866
208,614
209,654
210,714
211,768
212,644
213,736
214,764
215,778
216,764
217,760
218,608
219,708
220,1568
221,756
222,758
223,608
224,730
225,622
226,620
227,712
228,608
229,776
230,848
231,612
232,894
233,628
234,618
235,626
236,654
237,612
238,722
239,720
240,948
241,618
242,704
243,736
244,622
245,1554
246,764
247,708
248,662
249,726
250,730
251,764
252,754
253,622
254,756
255,764
256,630
257,764
258,764
259,760
260,608
261,754
262,608
263,866
264,614
265,654
266,714
267,632
268,910
269,766
270,1564
271,768
272,632
273,764
274,620
275,726
276,768
277,768
278,608
279,748
280,756
281,708
282,662
283,726
284,730
285,764
286,762
287,624
288,756
289,664
290,754
291,664
292,616
293,722
294,768
295,1678
296,598
297,866
298,614
299,654
300,714
301,654
302,754
303,724
304,608
305,782
306,756
307,756
308,598
309,708
310,662
311,610
312,750
313,622
314,752
315,622
316,620
317,726
318,768
319,768
320,1670
321,626
322,608
323,730
324,622
325,710
326,630
327,766
328,722
329,608
330,762
331,662
332,678
333,662
334,756
335,756
336,760
337,768
338,768
339,758
340,758
341,664
342,736
343,608
344,866
345,1568
346,768
347,768
348,608
349,776
350,756
351,738
352,662
353,726
354,1624
355,766
356,722
357,608
358,760
359,622
360,630
361,588
362,912
363,630
364,754
365,714
366,654
367,620
368,760
369,608
370,1540
371,768
372,756
373,664
374,754
375,664
376,616
377,722
378,768
379,1528
380,598
381,866
382,614
383,654
384,714
385,654
386,668
387,628
388,764
389,630
390,654
391,760
392,608
393,708
394,662
395,1664
396,612
397,590
398,780
399,632
400,910
401,766
402,708
403,630
404,726
405,618
406,626
407,612
408,820
409,664
410,616
411,652
412,608
413,730
414,622
415,662
416,760
417,608
418,724
419,630
420,1522
421,654
422,768
423,608
424,622
425,672
426,616
427,630
428,598
429,866
430,612
431,630
432,726
433,654
434,620
435,726
436,608
437,630
438,654
439,760
440,608
441,708
442,662
443,630
444,722
445,662
446,732
447,612
448,750
449,764
450,664
451,754
452,652
453,764
454,622
455,736
456,706
457,760
458,760
459,678
460,628
461,1530
462,652
463,622
464,756
465,778
466,764
467,760
468,662
469,620
470,622
471,866
472,614
473,654
474,714
475,654
476,620
477,808
478,756
479,778
480,764
481,760
482,608
483,708
484,662
485,726
486,1624
487,764
488,754
489,622
490,756
491,622
492,630
493,612
494,608
495,776
496,654
497,714
498,654
499,620
500,760
501,608
502,720
503,628
504,620
505,726
506,768
507,768
508,608
509,776
510,756
511,1542
512,618
513,626
514,618
515,614
516,628
517,618
518,660
519,736
520,764
521,630
522,654
523,760
524,608
525,708
526,662
527,840
528,602
529,662
530,776
531,628
532,872
533,622
534,630
535,764
536,1678
537,602
538,662
539,776
540,628
541,872
542,622
543,576
544,752
545,622
546,620
547,726
548,768
549,768
550,608
551,776
552,1424
553,798
554,768
555,758
556,758
557,664
558,736
559,736
560,872
561,1520
562,608
563,892
564,662
565,760
566,678
567,628
568,628
569,632
570,762
571,622
572,714
573,654
574,620
575,726
576,768
577,608
578,630
579,802
580,706
581,622
582,622
583,726
584,730
585,764
586,1674
587,658
588,726
589,764
590,722
591,598
592,622
593,608
594,732
595,722
596,622
597,710
598,630
599,894
600,628
601,618
602,718
603,764
604,664
605,754
606,764
607,748
608,608
609,708
610,662
611,1538
612,612
613,768
614,622
615,622
616,620
617,726
618,768
619,608
620,622
621,760
622,678
623,732
624,612
625,750
626,802
627,760
628,632
629,910
630,758
631,608
632,892
633,662
634,756
635,756
636,1558
637,722
638,622
639,866
640,614
641,654
642,714
643,654
644,620
645,726
646,616
647,608
648,622
649,672
650,616
651,756
652,610
653,766
654,622
655,694
656,654
657,714
658,654
659,620
660,760
661,1670
662,768
663,630
664,614
665,598
666,778
667,764
668,682
669,612
670,630
671,632
672,910
673,766
674,754
675,622
676,752
677,752
678,620
679,612
680,820
681,664
682,616
683,722
684,768
685,632
686,1536
687,614
688,622
689,622
690,632
691,764
692,620
693,712
694,608
695,1780
696,678
697,632
698,630
699,726
700,608
