rep,cycles
0,41558
1,3945
2,4149
3,4065
4,4047
5,4797
6,4179
7,4014
8,4116
9,4032
10,4065
11,4140
12,3930
13,4695
14,3882
15,4008
16,4060
17,4126
18,4014
19,3948
20,3938
21,3940
22,4990
23,4838
24,4068
25,3940
26,4068
27,4082
28,3974
29,4114
30,3976
31,4702
32,4502
33,3934
34,3962
35,3972
36,3998
37,4112
38,3980
39,4898
40,4556
41,4078
42,4006
43,4136
44,3996
45,4106
46,3966
47,4164
48,4874
49,4846
50,4058
51,4120
52,4150
53,4120
54,4180
55,4090
56,4934
57,4840
58,4234
59,3956
60,4116
61,4212
62,4078
63,4136
64,3988
65,4660
66,4180
67,4056
68,4128
69,4266
70,4066
71,4148
72,4244
73,4778
74,4852
75,4014
76,4064
77,3970
78,4108
79,4082
80,3964
81,3974
82,4984
83,4608
84,4168
85,4012
86,4028
87,4156
88,4198
89,4076
90,4690
91,4858
92,4134
93,4036
94,4350
95,4152
96,4174
97,4030
98,4646
99,4018
100,3938
101,3992
102,3968
103,3936
104,4890
105,4992
106,3970
107,4080
108,4244
109,4032
110,4036
111,4118
112,5070
113,4800
114,4002
115,4084
116,4116
117,4056
118,3878
119,3902
120,4114
121,4756
122,4760
123,3922
124,4122
125,3974
126,4068
127,4026
128,3912
129,4084
130,4752
131,3992
132,3836
133,4018
134,3932
135,4114
136,4066
137,4044
138,3984
139,4922
140,4126
141,4032
142,4042
143,3960
144,3928
145,4062
146,4024
147,3924
148,4828
149,3970
150,4010
151,3974
152,4078
153,4032
154,3968
155,4056
156,3864
157,4632
158,4552
159,3990
160,4044
161,3964
162,3946
163,4082
164,3984
165,3940
166,4870
167,4058
168,4078
169,4104
170,4128
171,4114
172,4036
173,4076
174,4792
175,4888
176,3984
177,4084
178,4130
179,4176
180,4214
181,4172
182,4024
183,4898
184,3984
185,3976
186,4076
187,3938
188,4060
189,4148
190,4022
191,5016
192,4978
193,4250
194,4070
195,4058
196,4008
197,4108
198,4068
199,4992
200,4896
201,4022
202,4164
203,4110
204,4010
205,4028
206,3974
207,4206
208,4872
209,4742
210,4032
211,4306
212,4008
213,4112
214,4218
215,3994
216,4808
217,4848
218,4104
219,4168
220,4176
221,4032
222,4154
223,3942
224,4076
225,4916
226,4274
227,3934
228,4068
229,4154
230,4110
231,4216
232,4026
233,4938
234,4836
235,4128
236,4130
237,4128
238,3970
239,4126
240,4082
241,4014
242,4924
243,4302
244,4024
245,3998
246,4072
247,4054
248,4132
249,4046
250,4830
251,4800
252,4010
253,4008
254,4098
255,4218
256,4082
257,4088
258,4038
259,4756
260,4802
261,4178
262,4136
263,4028
264,4852
265,4898
266,4076
267,4032
268,3970
269,4160
270,4164
271,3988
272,4060
273,5046
274,4852
275,4092
276,4104
